kilo_uid,kilo_ticks
1,5
2,5
0,9
2,9
0,16
1,16
1,20
2,20
0,24
2,24
0,32
1,32
1,36
2,36
0,40
2,40
0,46
1,46
1,50
2,50
0,54
2,54
0,61
1,61
1,65
2,65
0,69
2,69
0,76
1,76
1,80
2,80
0,85
2,85
0,91
1,91
1,95
2,95
0,99
2,99
0,107
1,107
1,111
2,111
0,114
2,114
0,121
1,121
1,125
2,125
0,129
2,129
0,136
1,136
1,140
2,140
0,144
2,144
0,151
1,151
1,156
2,156
0,160
2,160
0,166
1,166
1,170
2,170
0,174
2,174
0,182
1,182
1,185
2,185
0,189
2,189
0,196
1,196
1,200
2,200
0,204
2,204
0,211
1,211
1,215
2,215
0,219
2,219
0,226
1,226
1,231
2,231
0,235
2,235
0,241
1,241
1,245
2,245
0,249
2,249
0,257
1,257
1,260
2,260
0,264
2,264
0,271
1,271
1,275
2,275
0,280
2,280
0,286
1,286
1,290
2,290
0,294
2,294
0,302
1,302
1,306
2,306
0,309
2,309
0,316
1,316
1,320
2,320
0,324
2,324
0,331
1,331
1,335
2,335
0,339
2,339
0,346
1,346
1,350
2,350
0,355
2,355
0,361
1,361
1,365
2,365
0,369
2,369
0,377
1,377
1,381
2,381
0,384
2,384
0,391
1,391
1,395
2,395
0,399
2,399
0,406
1,406
1,410
2,410
0,414
2,414
0,421
1,421
1,426
2,426
0,430
2,430
0,436
1,436
1,440
2,440
0,444
2,444
0,452
1,452
1,455
2,455
0,459
2,459
0,466
1,466
1,470
2,470
0,474
2,474
0,481
1,481
1,485
2,485
0,489
2,489
0,497
1,497
1,501
2,501
0,505
2,505
0,511
1,511
1,515
2,515
0,519
2,519
0,526
1,526
1,530
2,530
0,534
2,534
0,541
1,541
1,545
2,545
0,550
2,550
0,556
1,556
1,560
2,560
0,564
2,564
0,572
1,572
1,576
2,576
0,579
2,579
0,586
1,586
1,590
2,590
0,594
2,594
0,601
1,601
1,605
2,605
0,609
2,609
0,616
1,616
1,621
2,621
0,625
2,625
0,631
1,631
1,635
2,635
0,639
2,639
0,647
1,647
1,650
2,650
0,654
2,654
0,661
1,661
1,665
2,665
0,669
2,669
0,676
1,676
1,680
2,680
0,684
2,684
0,691
1,691
1,696
2,696
0,700
2,700
0,706
1,706
1,710
2,710
0,714
2,714
0,722
1,722
1,725
2,725
0,729
2,729
0,736
1,736
1,740
2,740
0,745
2,745
0,751
1,751
1,755
2,755
0,759
2,759
0,767
1,767
1,771
2,771
0,774
2,774
0,781
1,781
1,785
2,785
0,789
2,789
0,796
1,796
1,800
2,800
0,804
2,804
0,811
1,811
1,815
2,815
0,820
2,820
0,826
1,826
1,830
2,830
0,834
2,834
0,842
1,842
1,846
2,846
0,849
2,849
0,856
1,856
1,860
2,860
0,864
2,864
0,871
1,871
1,875
2,875
0,879
2,879
0,886
1,886
1,891
2,891
0,895
2,895
0,901
1,901
1,905
2,905
0,909
2,909
0,917
1,917
1,920
2,920
0,924
2,924
0,931
1,931
1,935
2,935
0,939
2,939
0,946
1,946
1,950
2,950
0,954
2,954
0,962
1,962
1,966
2,966
0,970
2,970
0,976
1,976
1,980
2,980
0,984
2,984
0,991
1,991
1,995
2,995
0,999
2,999
0,1006
1,1006
1,1010
2,1010
0,1015
2,1015
0,1021
1,1021
1,1025
2,1025
0,1029
2,1029
0,1037
1,1037
1,1041
2,1041
0,1044
2,1044
0,1051
1,1051
1,1055
2,1055
0,1059
2,1059
0,1066
1,1066
1,1070
2,1070
0,1074
2,1074
0,1081
1,1081
1,1086
2,1086
0,1090
2,1090
0,1096
1,1096
1,1100
2,1100
0,1104
2,1104
0,1112
1,1112
1,1115
2,1115
0,1119
2,1119
0,1126
1,1126
1,1130
2,1130
0,1134
2,1134
0,1141
1,1141
1,1145
2,1145
0,1149
2,1149
0,1156
1,1156
1,1161
2,1161
0,1165
2,1165
0,1171
1,1171
1,1175
2,1175
0,1179
2,1179
0,1187
1,1187
1,1190
2,1190
0,1194
2,1194
0,1201
1,1201
1,1205
2,1205
0,1210
2,1210
0,1216
1,1216
1,1220
2,1220
0,1224
2,1224
0,1232
1,1232
1,1236
2,1236
0,1239
2,1239
0,1246
1,1246
1,1250
2,1250
0,1254
2,1254
0,1261
1,1261
1,1265
2,1265
0,1269
2,1269
0,1276
1,1276
1,1280
2,1280
0,1285
2,1285
0,1291
1,1291
1,1295
2,1295
0,1299
2,1299
0,1307
1,1307
1,1311
2,1311
0,1314
2,1314
0,1321
1,1321
1,1325
2,1325
0,1329
2,1329
0,1336
1,1336
1,1340
2,1340
0,1344
2,1344
0,1351
1,1351
1,1356
2,1356
0,1360
2,1360
0,1366
1,1366
1,1370
2,1370
0,1374
2,1374
0,1382
1,1382
1,1385
2,1385
0,1389
2,1389
0,1396
1,1396
1,1400
2,1400
0,1404
2,1404
0,1411
1,1411
1,1415
2,1415
0,1419
2,1419
0,1427
1,1427
1,1431
2,1431
0,1435
2,1435
0,1441
1,1441
1,1445
2,1445
0,1449
2,1449
0,1456
1,1456
1,1460
2,1460
0,1464
2,1464
0,1471
1,1471
1,1475
2,1475
0,1480
2,1480
